;;1-А;;;;;;;;;;;;;;;;;;1-Б;;;;;;;;;;;;;;;;;;1-В;;;;;;;;;;;;;;;;;;1-Г;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;1;08:30;"Литературное чтение
Поварова С.И.
ШО 1
115БНК, Каб. нач. классов";1;08:30;"Литературное чтение
Поварова С.И.
ШО 1
115БНК, Каб. нач. классов";1;08:30;"Литературное чтение
Поварова С.И.
ШО 1
115БНК, Каб. нач. классов";1;08:30;"Литературное чтение
Поварова С.И.
ШО 1
115БНК, Каб. нач. классов";;;;;;;1;08:30;"Литературное чтение
Атрощенко Е.В.
ШО 1
214БНК, Каб. нач. классов";1;08:30;"Литературное чтение
Атрощенко Е.В.
ШО 1
214БНК, Каб. нач. классов";1;08:30;"Литературное чтение
Атрощенко Е.В.
ШО 1
214БНК, Каб. нач. классов";1;08:30;"Литературное чтение
Атрощенко Е.В.
ШО 1
214БНК, Каб. нач. классов";;;;;;;1;08:30;"Введение в геометрию
Лобанова Ж.Е.
ШО 1
213БНК, Каб. нач. классов";1;08:30;"Литературное чтение
Лобанова Ж.Е.
ШО 1
213БНК, Каб. нач. классов";1;08:30;"Окружающий мир
Лобанова Ж.Е.
ШО 1
213БНК, Каб. нач. классов";1;08:30;"Литературное чтение
Лобанова Ж.Е.
ШО 1
213БНК, Каб. нач. классов";;;;;;;1;08:30;"Изобразительное искусство
Назина Л.А.
ШО 1
114б, Каб. нач. классов";1;08:30;"Литературное чтение
Леукин Д.А.
ШО 1
114б, Каб. нач. классов";1;08:30;"Литературное чтение
Леукин Д.А.
ШО 1
114б, Каб. нач. классов";1;08:30;"Окружающий мир
Леукин Д.А.
ШО 1
114б, Каб. нач. классов";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2;09:30;"Русский язык
Поварова С.И.
ШО 1
115БНК, Каб. нач. классов";2;09:30;"Музыка
Шелепова И.М.
ШО 1
115БНК, Каб. нач. классов";2;09:30;"Введение в геометрию
Поварова С.И.
ШО 1
115БНК, Каб. нач. классов";2;09:30;"Русский язык
Поварова С.И.
ШО 1
115БНК, Каб. нач. классов";2;09:30;"Русский язык
Поварова С.И.
ШО 1
115БНК, Каб. нач. классов";;;;2;09:30;"Русский язык
Атрощенко Е.В.
ШО 1
214БНК, Каб. нач. классов";2;09:30;"Русский язык
Атрощенко Е.В.
ШО 1
214БНК, Каб. нач. классов";2;09:30;"Русский язык
Атрощенко Е.В.
ШО 1
214БНК, Каб. нач. классов";2;09:30;"Русский язык
Атрощенко Е.В.
ШО 1
214БНК, Каб. нач. классов";2;09:30;"Введение в геометрию
Атрощенко Е.В.
ШО 1
214БНК, Каб. нач. классов";;;;2;09:30;"Математика
Лобанова Ж.Е.
ШО 1
213БНК, Каб. нач. классов";2;09:30;"Русский язык
Лобанова Ж.Е.
ШО 1
213БНК, Каб. нач. классов";2;09:30;"Русский язык
Лобанова Ж.Е.
ШО 1
213БНК, Каб. нач. классов";2;09:30;"Математика
Лобанова Ж.Е.
ШО 1
213БНК, Каб. нач. классов";2;09:30;"Математика
Лобанова Ж.Е.
ШО 1
213БНК, Каб. нач. классов";;;;2;09:30;"Литературное чтение
Леукин Д.А.
ШО 1
114б, Каб. нач. классов";2;09:30;"Литературное чтение
Леукин Д.А.
ШО 1
114б, Каб. нач. классов";2;09:30;"Русский язык
Леукин Д.А.
ШО 1
114б, Каб. нач. классов";2;09:30;"Русский язык
Леукин Д.А.
ШО 1
114б, Каб. нач. классов";2;09:30;"Математика
Леукин Д.А.
ШО 1
114б, Каб. нач. классов";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;3;10:35;"Математика
Поварова С.И.
ШО 1
115БНК, Каб. нач. классов";3;10:35;"Математика
Поварова С.И.
ШО 1
115БНК, Каб. нач. классов";3;10:35;"Русский язык
Поварова С.И.
ШО 1
115БНК, Каб. нач. классов";3;10:35;"Математика
Поварова С.И.
ШО 1
115БНК, Каб. нач. классов";3;10:35;"Математика
Поварова С.И.
ШО 1
115БНК, Каб. нач. классов";;;;3;10:35;"Математика
Атрощенко Е.В.
ШО 1
214БНК, Каб. нач. классов";3;10:35;"Математика
Атрощенко Е.В.
ШО 1
214БНК, Каб. нач. классов";3;10:35;"Математика
Атрощенко Е.В.
ШО 1
214БНК, Каб. нач. классов";3;10:35;"Математика
Атрощенко Е.В.
ШО 1
214БНК, Каб. нач. классов";3;10:35;"Технология
Атрощенко Е.В.
ШО 1
214БНК, Каб. нач. классов";;;;3;10:35;"Русский язык
Лобанова Ж.Е.
ШО 1
213БНК, Каб. нач. классов";3;10:35;"Литературное чтение
Лобанова Ж.Е.
ШО 1
213БНК, Каб. нач. классов";3;10:35;"Математика
Лобанова Ж.Е.
ШО 1
213БНК, Каб. нач. классов";3;10:35;"Русский язык
Лобанова Ж.Е.
ШО 1
213БНК, Каб. нач. классов";3;10:35;"Окружающий мир
Лобанова Ж.Е.
ШО 1
213БНК, Каб. нач. классов";;;;3;10:35;"Русский язык
Леукин Д.А.
ШО 1
114б, Каб. нач. классов";3;10:35;"Русский язык
Леукин Д.А.
ШО 1
114б, Каб. нач. классов";3;10:35;"Математика
Леукин Д.А.
ШО 1
114б, Каб. нач. классов";3;10:35;"Математика
Леукин Д.А.
ШО 1
114б, Каб. нач. классов";3;10:35;"Введение в геометрию
Леукин Д.А.
ШО 1
114б, Каб. нач. классов";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;4;11:40;"Физическая культура
Воякин Д.М.
ШО 1
С/з БНК (207БНК), Спортивный зал БНК";4;11:40;"Окружающий мир
Поварова С.И.
ШО 1
115БНК, Каб. нач. классов";4;11:40;"Технология
Поварова С.И.
ШО 1
115БНК, Каб. нач. классов";4;11:40;"Окружающий мир
Поварова С.И.
ШО 1
115БНК, Каб. нач. классов";4;11:40;"Изобразительное искусство
Назина Л.А.
ШО 1
115БНК, Каб. нач. классов";;;;4;11:40;"Окружающий мир
Атрощенко Е.В.
ШО 1
214БНК, Каб. нач. классов";4;11:40;"Физическая культура
Воякин Д.М.
ШО 1
С/з БНК (207БНК), Спортивный зал БНК";4;11:40;"Изобразительное искусство
Назина Л.А.
ШО 1
214БНК, Каб. нач. классов";4;11:40;"Музыка
Шелепова И.М.
ШО 1
214БНК, Каб. нач. классов";4;11:40;"Окружающий мир
Атрощенко Е.В.
ШО 1
214БНК, Каб. нач. классов";;;;4;11:40;"Физическая культура
Уваров В.Г.
ШО 1
С/з мал. (201), Спортивный зал малый";4;11:40;"Изобразительное искусство
Назина Л.А.
ШО 1
213БНК, Каб. нач. классов";4;11:40;"Технология
Лобанова Ж.Е.
ШО 1
213БНК, Каб. нач. классов";4;11:40;"Литературное чтение
Лобанова Ж.Е.
ШО 1
213БНК, Каб. нач. классов";4;11:40;"Музыка
Шелепова И.М.
ШО 1
213БНК, Каб. нач. классов";;;;4;11:40;"Музыка
Шелепова И.М.
ШО 1
114б, Каб. нач. классов";4;11:40;"Математика
Леукин Д.А.
ШО 1
114б, Каб. нач. классов";4;11:40;"Физическая культура
Уваров В.Г.
ШО 1
С/з мал. (201), Спортивный зал малый";4;11:40;"Окружающий мир
Леукин Д.А.
ШО 1
114б, Каб. нач. классов";4;11:40;"Технология
Леукин Д.А.
ШО 1
114б, Каб. нач. классов";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;5;12:35;"Физическая культура
Воякин Д.М.
ШО 1
С/з БНК (207БНК), Спортивный зал БНК";;;;;;;;;;;;;;;;;;;5;12:35;"Физическая культура
Воякин Д.М.
ШО 1
С/з БНК (207БНК), Спортивный зал БНК";;;;;;;;;;;;;5;12:35;"Физическая культура
Уваров В.Г.
ШО 1
С/з мал. (201), Спортивный зал малый";;;;;;;;;;;;;;;;;;;5;12:35;"Физическая культура
Уваров В.Г.
ШО 1
С/з мал. (201), Спортивный зал малый";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2-А;;;;;;;;;;;;;;;;;;2-Б;;;;;;;;;;;;;;;;;;2-В;;;;;;;;;;;;;;;;;;2-Э;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;Понедельник;;;Вторник;;;Среда;;;Четверг;;;Пятница;;;Суббота;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;1;08:30;"Русский язык
Иванов А.С.
ШО 1
311БНК, Каб. нач. классов";1;08:30;"Английский язык
Якушкина Г.Б.
ШО 1
311БНК, Каб. нач. классов";1;08:30;"Русский язык
Иванов А.С.
ШО 1
311БНК, Каб. нач. классов";1;08:30;"Музыка
Шелепова И.М.
ШО 1
311БНК, Каб. нач. классов";;;;;;;1;08:30;"Русский язык
Иноземцева Т.С.
ШО 1
301БНК, Каб. нач. классов";1;08:30;"Шахматы
Уваров В.Г.
ШО 1
301БНК, Каб. нач. классов";1;08:30;"Окружающий мир
Иноземцева Т.С.
ШО 1
301БНК, Каб. нач. классов";1;08:30;"Занимательная математика
Иноземцева Т.С.
ШО 1
301БНК, Каб. нач. классов";;;;;;;1;08:30;"Физическая культура
Воякин Д.М.
ШО 1
С/з БНК (207БНК), Спортивный зал БНК";1;08:30;"Занимательная математика
Медведюк И.С.
ШО 1
111БНК, Каб. нач. классов";1;08:30;"Русский язык
Медведюк И.С.
ШО 1
111БНК, Каб. нач. классов";1;08:30;"Физическая культура
Воякин Д.М.
ШО 1
С/з БНК (207БНК), Спортивный зал БНК";;;;;;;1;08:30;"Русский язык
Мушникова О.А.
ШО 1
112б, Каб. нач. классов";1;08:30;"Математика
Мушникова О.А.
ШО 1
112б, Каб. нач. классов";1;08:30;"Математика
Мушникова О.А.
ШО 1
112б, Каб. нач. классов";1;08:30;"Математика
Мушникова О.А.
ШО 1
112б, Каб. нач. классов";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
